Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
440	-605.82117	535.62244	-203.27112	-2800.051	23.314285	-179.756	4.1341496	-150.33672	-183.48666	44100	-0.15383963	8338.639	0.0	-292.15625	0.822902	-5.9604766e-11	341.2968111038208
450	-591.7667	650.4516	-237.8782	-3344.6506	21.46875	-180.9952	2.841767	-165.73314	-184.38683	45100	-0.13935961	9027.813	0.0	-195.60991	0.82065713	-2.0265576e-09	348.38787817955017
460	-635.6518	611.9039	-210.25642	-2722.1228	24.69697	-182.05443	1.0486364	-178.68402	-184.37341	46100	-0.10686648	7919.889	0.0	-86.53867	0.8184821	-2.9802302e-10	355.3019423484802
470	-433.56116	256.66354	-152.49506	-1547.9543	16.65306	-178.37573	1.4327444	-175.93085	-181.92209	47100	-0.142072	8874.288	0.0	-74.382324	0.8166893	-1.1324884e-09	362.64681577682495
480	-496.4577	428.81293	-163.34227	-2211.47	19.175	-159.36017	40.283943	27.598732	-177.82582	48100	-0.17184201	22364.416	0.0	-7646.585	0.8146292	-1.2516976e-09	369.7735891342163
490	-542.3214	493.2462	-155.71503	-2110.365	21.0	-169.587	14.071581	-94.05726	-178.44608	49100	-0.20629852	8336.96	0.0	-527.06476	0.8122411	-8.344652e-10	376.5974533557892
500	-428.49057	191.77379	-193.72682	-1049.3921	15.585366	-172.29555	7.0282617	-135.91782	-177.68239	50100	-0.17444742	8273.536	0.0	-283.43842	0.80961406	3.0398368e-09	383.5491364002228
510	-429.2172	425.2328	-175.04904	-2955.116	15.925	-172.88548	2.2832372	-163.3316	-176.519	51100	-0.13225642	9527.764	0.0	-204.45337	0.8070567	-8.3446483e-10	390.71238136291504
520	-448.7902	276.8778	-170.89049	-1454.6721	17.352942	-174.37753	1.383986	-167.67491	-177.34427	52100	-0.1703303	7288.3423	0.0	-44.90034	0.8045929	1.4305115e-09	398.10908579826355
530	-538.8467	470.87497	-198.72728	-2895.4016	20.21875	-174.40298	1.9981197	-167.86394	-177.84271	53100	-0.17661124	7413.7656	0.0	-114.13125	0.8021201	-2.9802323e-09	405.11522245407104
540	-487.57867	267.023	-199.34471	-1290.4707	19.37143	-144.6031	51.950565	36.15934	-175.14716	54100	-0.20385809	8809.664	0.0	-2825.1323	0.799693	2.0861626e-09	412.3469457626343
550	-439.11816	385.14185	-216.88513	-2945.628	16.76	-161.0952	27.821987	-22.477303	-177.75629	55100	-0.16515611	8922.992	0.0	-1277.8699	0.7970885	5.1259996e-09	419.6194248199463
560	-462.61325	328.95844	-162.85413	-1892.6489	18.209303	-149.76813	31.196676	-15.201847	-173.25533	56100	-0.17337301	6878.2275	0.0	-689.0098	0.7946051	-2.3245812e-09	426.97175788879395
570	-551.9304	407.38977	-208.15775	-1969.2576	21.805555	-145.89197	47.53564	29.650097	-172.9719	57100	-0.14636454	9049.148	0.0	-2532.0786	0.7919721	-5.960441e-11	434.2059109210968
580	-427.1641	258.47607	-161.13191	-1311.4271	16.702127	-151.3329	29.969576	6.816766	-173.79887	58100	-0.19506046	7922.078	0.0	-1356.6416	0.7895956	-1.2516975e-09	442.6076500415802
590	-624.86615	614.7343	-160.99889	-2520.6064	24.3125	-154.16174	28.448177	-15.055741	-177.56732	59100	-0.2080605	7280.366	0.0	-1403.613	0.7869873	-1.0728838e-09	450.2561740875244
600	-463.42087	286.8242	-160.67694	-1422.5547	18.192308	-175.22797	7.115401	-121.99827	-179.60153	60100	-0.16579494	7094.2773	0.0	-343.67938	0.78416634	4.708767e-09	457.74278950691223
